who	type	src	sys	time	slen	mlen	plen	letters	digits	spaces	symbols	navigation	erase	commands	visible	keystrokes	allkeys	insertions	deletions	substitutions	shifts	hter	hter_ins	hter_del	hter_sub	hter_shift	hter_wdsh	hter_errors	hter_words	assessing	necessity	S	MT	PE
antonio	PE	541	rbmt-3	76921	12	12	11	43	0	9	3	0	9	0	55	64	64	0	0	4	0	0.54545	1	0	4	1	1	6	11	22985	1	"I hope the common sense wins," Rajchl said.	"Espero las victorias de sentido común," Rajchl dijo.	"Espero que gane el sentido común", dijo Rajcht
antonio	PE	1142	rbmt-4	215125	16	16	18	47	0	12	0	0	11	0	59	70	70	0	1	3	1	0.33333	0	2	3	1	1	6	18	23547	2	When the victim defended herself, he struck her hands and head with a truncheon.	Cuando la víctima se defendió, él pegó sus manos y cabeza con una matraca.	Cuando ella se defendió, él le pegó en las manos y la cabeza con una porra.
antonio	PE	1028	online-C	382547	16	16	13	100	0	14	1	0	32	0	115	147	147	0	0	7	0	0.69231	3	0	5	1	1	9	13	23266	1	Deterrence would only be conceivable as an exception in hospitals, retirement homes and schools.	La disuasión sería solamente posible como excepción en hospitales, casas de jubilación y escuelas.	El desánimo solo sería imaginable como excepción en hospitales, albergues y escuelas
antonio	PE	703	promt	205593	19	18	15	89	0	15	1	0	15	0	105	120	120	0	1	4	0	0.53333	3	0	5	0	0	8	15	21094	2	The head of the bank then plans to announce changes following the investigation at the end of January.	El jefe del banco entonces planea anunciar cambios que después de un examen a finales de enero.	El director del banco prevee anunciar cambios siguiendo la investigación a finales de enero.
antonio	PE	1378	promt	99593	9	8	12	56	0	10	2	1	3	0	68	71	72	1	2	0	0	0.5	0	4	2	0	0	6	12	17562	2	Mission over, Congress ready to agree on Libya	Misión, Congreso listo para convenir en Libia	Misión finalizada, El congreso está listo para el acuerdo con Libia
antonio	PE	60	uedin	119843	16	19	19	111	0	18	0	0	20	0	129	149	149	0	0	5	0	0.68421	2	2	7	2	3	13	19	29203	2	Perfect Czech team defence only allowed the Montenegro team to threaten in the second half.	El equipo checo perfecta defensa sólo permitió que el equipo de Montenegro para amenazar en la segunda mitad.	La defensa perfecta del equipo Checo solo dejó al equipo de Montenegro ocasiones de riesgo en la segunda parte
antonio	PE	1770	rbmt-1	35797	9	8	8	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0.0	0	0	0	0	0	0	8	7563	4	"It's a brigade without bullets."	"Es una brigada sin balas."	"Es una brigada sin balas."
antonio	PE	1244	online-C	153765	25	30	27	139	0	26	2	0	7	0	167	174	174	1	0	4	0	0.48148	4	1	7	1	2	13	27	36923	2	Europe's largest software producer, SAP, plans to invest billions and almost double its workforce in China in the next few years.	El mayor productor de software de Europa, SAP, planea invertir miles de millones y casi doblar su mano de obra en China en los próximos pocos años.	El mayor productor de europeo de software, el SAP, planea invertir billones e incluso doblar su número de empleados en China en los prócimos años
antonio	PE	1734	online-C	159766	17	19	14	88	0	19	0	0	28	0	107	135	135	3	1	6	0	1.07143	5	0	8	2	2	15	14	4515	1	Europe's monetary union has been badly undermined by a sovereign debt crisis in past months.	La unión monetaria de Europa ha sido desautorizada mal por una crisis de deuda soberana en meses pasados.	La zona euro se ha visto gravemente debilitada hace meses por la deuda soberana
antonio	PE	2933	online-C	347797	40	43	40	216	4	41	4	0	41	0	265	306	306	2	1	6	0	0.475	4	1	9	5	6	19	40	4250	1	A success, which aroused envy; in the autumn of 2006, Modo Modo was bought by the investment fund SG Capital Europe, now Syntegra Capital, to write a new page in the history of Moleskine.	Un éxito, que despertaba envidia; en el otoño de 2006, Modo Modo era comprado por la Capital de SG de fondo de inversión Europa, ahora Syntegra Capital, para escribir una página nueva en la historia de Moleskine.	Un éxito que suscitó envidia; durante el otoño de 2006, la compañia Modo Modo fue adquirida por el fondo de inversiones SG Capital Europe, actualmente Syntegra Capital, escribiendo una nueva página en la historia de Moleskine
